700015001 	 158822939 	 1 	 male 	 "JCVI,WUGC" 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700015001_from_subject_158822939__sex_male_
700015080 	 158721788 	 1 	 male 	 "JCVI,BI" 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700015080_from_subject_158721788__sex_male_
700015227 	 158742018 	 1 	 female 	 "BCM,BI" 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700015227_from_subject_158742018__sex_female_
700015293 	 158802708 	 1 	 male 	 "JCVI,WUGC" 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700015293_from_subject_158802708__sex_male_
700015452 	 159025240 	 1 	 female 	 "JCVI,BI" 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700015452_from_subject_159025240__sex_female_
700015669 	 158924089 	 1 	 male 	 "JCVI,WUGC" 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700015669_from_subject_158924089__sex_male_
700016048 	 158964549 	 1 	 male 	 "BCM,WUGC" 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700016048_from_subject_158964549__sex_male_
700016053 	 159005010 	 1 	 female 	 "WUGC,JCVI" 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700016053_from_subject_159005010__sex_female_
700016135 	 159146620 	 1 	 male 	 "BCM,WUGC" 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700016135_from_subject_159146620__sex_male_
700016311 	 159085930 	 1 	 female 	 "JCVI,WUGC" 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700016311_from_subject_159085930__sex_female_
700016656 	 159166850 	 1 	 male 	 "BCM,WUGC" 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700016656_from_subject_159166850__sex_male_
700021290 	 763516763 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700021290_from_subject_763516763__sex_male_
700021810 	 763678604 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700021810_from_subject_763678604__sex_male_
700023072 	 763698834 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700023072_from_subject_763698834__sex_female_
700023240 	 763840445 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700023240_from_subject_763840445__sex_female_
700023393 	 763719065 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700023393_from_subject_763719065__sex_female_
700023450 	 763921366 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700023450_from_subject_763921366__sex_female_
700023507 	 764002286 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700023507_from_subject_764002286__sex_male_
700023554 	 763860675 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700023554_from_subject_763860675__sex_male_
700023600 	 763880905 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700023600_from_subject_763880905__sex_male_
700023637 	 764062976 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700023637_from_subject_764062976__sex_female_
700023704 	 763901136 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700023704_from_subject_763901136__sex_female_
