700014427 	 158398106 	 1 	 male 	 "BCM,BI" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700014427_from_subject_158398106__sex_male_
700014521 	 158418336 	 1 	 male 	 "BCM,BI" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700014521_from_subject_158418336__sex_male_
700014603 	 158438567 	 1 	 male 	 "BCM,BI" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700014603_from_subject_158438567__sex_male_
700014749 	 158458797 	 1 	 female 	 "BCM,BI" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700014749_from_subject_158458797__sex_female_
700014791 	 158479027 	 1 	 male 	 "JCVI,BI" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700014791_from_subject_158479027__sex_male_
700014917 	 158499257 	 1 	 male 	 "JCVI,BI" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700014917_from_subject_158499257__sex_male_
700014989 	 158822939 	 1 	 male 	 "JCVI,WUGC" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700014989_from_subject_158822939__sex_male_
700015076 	 158721788 	 1 	 male 	 "JCVI,BI" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700015076_from_subject_158721788__sex_male_
700015149 	 158883629 	 1 	 female 	 "BCM,BI" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700015149_from_subject_158883629__sex_female_
700015215 	 158742018 	 1 	 female 	 "BCM,BI" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700015215_from_subject_158742018__sex_female_
700015281 	 158802708 	 1 	 male 	 "JCVI,WUGC" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700015281_from_subject_158802708__sex_male_
700015448 	 159025240 	 1 	 female 	 "JCVI,BI" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700015448_from_subject_159025240__sex_female_
700015550 	 158944319 	 1 	 female 	 "JCVI,BI" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700015550_from_subject_158944319__sex_female_
700015657 	 158924089 	 1 	 male 	 "JCVI,WUGC" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700015657_from_subject_158924089__sex_male_
700015738 	 158984779 	 1 	 female 	 "JCVI,BI" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700015738_from_subject_158984779__sex_female_
700016044 	 158964549 	 1 	 male 	 "BCM,WUGC" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700016044_from_subject_158964549__sex_male_
700016131 	 159146620 	 1 	 male 	 "BCM,WUGC" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700016131_from_subject_159146620__sex_male_
700016307 	 159085930 	 1 	 female 	 "JCVI,WUGC" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700016307_from_subject_159085930__sex_female_
700016352 	 159005010 	 1 	 female 	 "JCVI,WUGC" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700016352_from_subject_159005010__sex_female_
700016554 	 159227541 	 1 	 female 	 BCM 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700016554_from_subject_159227541__sex_female_
700016644 	 159166850 	 1 	 male 	 "BCM,WUGC" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700016644_from_subject_159166850__sex_male_
