700014424 	 158398106 	 1 	 male 	 "BCM,BI" 	 Throat 	 HMP_Human_metagenome_sample_700014424_from_subject_158398106__sex_male_
700014520 	 158418336 	 1 	 male 	 "BCM,BI" 	 Throat 	 HMP_Human_metagenome_sample_700014520_from_subject_158418336__sex_male_
700014604 	 158438567 	 1 	 male 	 "BCM,BI" 	 Throat 	 HMP_Human_metagenome_sample_700014604_from_subject_158438567__sex_male_
700014746 	 158458797 	 1 	 female 	 "BCM,BI" 	 Throat 	 HMP_Human_metagenome_sample_700014746_from_subject_158458797__sex_female_
700014790 	 158479027 	 1 	 male 	 "JCVI,BI" 	 Throat 	 HMP_Human_metagenome_sample_700014790_from_subject_158479027__sex_male_
700014916 	 158499257 	 1 	 male 	 "JCVI,BI" 	 Throat 	 HMP_Human_metagenome_sample_700014916_from_subject_158499257__sex_male_
700014986 	 158822939 	 1 	 male 	 "JCVI,WUGC" 	 Throat 	 HMP_Human_metagenome_sample_700014986_from_subject_158822939__sex_male_
700015075 	 158721788 	 1 	 male 	 "JCVI,BI" 	 Throat 	 HMP_Human_metagenome_sample_700015075_from_subject_158721788__sex_male_
700015146 	 158883629 	 1 	 female 	 "BCM,BI" 	 Throat 	 HMP_Human_metagenome_sample_700015146_from_subject_158883629__sex_female_
700015212 	 158742018 	 1 	 female 	 "BCM,BI" 	 Throat 	 HMP_Human_metagenome_sample_700015212_from_subject_158742018__sex_female_
700015278 	 158802708 	 1 	 male 	 "JCVI,WUGC" 	 Throat 	 HMP_Human_metagenome_sample_700015278_from_subject_158802708__sex_male_
700015447 	 159025240 	 1 	 female 	 "JCVI,BI" 	 Throat 	 HMP_Human_metagenome_sample_700015447_from_subject_159025240__sex_female_
700015545 	 158944319 	 1 	 female 	 "JCVI,BI" 	 Throat 	 HMP_Human_metagenome_sample_700015545_from_subject_158944319__sex_female_
700015654 	 158924089 	 1 	 male 	 "JCVI,WUGC" 	 Throat 	 HMP_Human_metagenome_sample_700015654_from_subject_158924089__sex_male_
700015735 	 158984779 	 1 	 female 	 "JCVI,BI" 	 Throat 	 HMP_Human_metagenome_sample_700015735_from_subject_158984779__sex_female_
700016043 	 158964549 	 1 	 male 	 "BCM,WUGC" 	 Throat 	 HMP_Human_metagenome_sample_700016043_from_subject_158964549__sex_male_
700016130 	 159146620 	 1 	 male 	 "BCM,WUGC" 	 Throat 	 HMP_Human_metagenome_sample_700016130_from_subject_159146620__sex_male_
700016306 	 159085930 	 1 	 female 	 "JCVI,WUGC" 	 Throat 	 HMP_Human_metagenome_sample_700016306_from_subject_159085930__sex_female_
700016351 	 159005010 	 1 	 female 	 "JCVI,WUGC" 	 Throat 	 HMP_Human_metagenome_sample_700016351_from_subject_159005010__sex_female_
700016553 	 159227541 	 1 	 female 	 BCM 	 Throat 	 HMP_Human_metagenome_sample_700016553_from_subject_159227541__sex_female_
700016641 	 159166850 	 1 	 male 	 "BCM,WUGC" 	 Throat 	 HMP_Human_metagenome_sample_700016641_from_subject_159166850__sex_male_
700016913 	 159389382 	 1 	 male 	 BCM 	 Throat 	 HMP_Human_metagenome_sample_700016913_from_subject_159389382__sex_male_
700021287 	 763516763 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700021287_from_subject_763516763__sex_male_
700021358 	 763536994 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700021358_from_subject_763536994__sex_male_
700021889 	 763820215 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700021889_from_subject_763820215__sex_female_
700023063 	 763698834 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700023063_from_subject_763698834__sex_female_
700023187 	 763638144 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700023187_from_subject_763638144__sex_female_
700023231 	 763840445 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700023231_from_subject_763840445__sex_female_
700023292 	 763597684 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700023292_from_subject_763597684__sex_male_
700023387 	 763719065 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700023387_from_subject_763719065__sex_female_
700023444 	 763921366 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700023444_from_subject_763921366__sex_female_
700023548 	 763860675 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700023548_from_subject_763860675__sex_male_
700023650 	 764062976 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700023650_from_subject_764062976__sex_female_
700023698 	 763901136 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700023698_from_subject_763901136__sex_female_
700023812 	 763759525 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700023812_from_subject_763759525__sex_female_
700023869 	 764143897 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700023869_from_subject_764143897__sex_female_
700023932 	 763982056 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700023932_from_subject_763982056__sex_male_
700023983 	 764184357 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700023983_from_subject_764184357__sex_female_
700024032 	 764042746 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024032_from_subject_764042746__sex_female_
700024094 	 764083206 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024094_from_subject_764083206__sex_male_
700024145 	 764245047 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024145_from_subject_764245047__sex_female_
700024198 	 764285508 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024198_from_subject_764285508__sex_male_
700024250 	 764346198 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024250_from_subject_764346198__sex_female_
700024304 	 764487809 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024304_from_subject_764487809__sex_male_
700024346 	 764467579 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024346_from_subject_764467579__sex_female_
700024409 	 764224817 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024409_from_subject_764224817__sex_male_
700024457 	 763435843 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024457_from_subject_763435843__sex_male_
700024505 	 764002286 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024505_from_subject_764002286__sex_male_
700024553 	 764305738 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024553_from_subject_764305738__sex_male_
700024601 	 764325968 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024601_from_subject_764325968__sex_male_
700024643 	 764447348 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024643_from_subject_764447348__sex_male_
700024748 	 764588959 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024748_from_subject_764588959__sex_female_
700024795 	 764366428 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024795_from_subject_764366428__sex_female_
700024862 	 764649650 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024862_from_subject_764649650__sex_female_
